,,,,,,,,,
Fullstack React Native,https://pan.baidu.com/s/1pH7fCLC9IYPDDQq_0ZeJRQ,,,,,,,,
,,,,,,,,,
Designing Web APIs,https://pan.baidu.com/s/1ekerm-cpTGZRGWnD7WKnxg,,,,,,,,
,,,,,,,,,
Rediscovering JavaScript,https://pan.baidu.com/s/1DUnBGCKoY1xfQUMXJtVJ5g,,,,,,,,
,,,,,,,,,
Designing for Scalability with Erlang/OTP,https://pan.baidu.com/s/1ObtWBy3ZDru7PM4I7QvpZQ,,,,,,,,
,,,,,,,,,
Time Is Money,https://pan.baidu.com/s/1WgyuF2yhr5FLk_qYBMWSwQ,,,,,,,,
,,,,,,,,,
Machine Learning Systems,https://pan.baidu.com/s/1IgzOS1UL_gNA440zJ1oHRg,,,,,,,,
,,,,,,,,,
The Tao of Microservices,https://pan.baidu.com/s/1BCQVIw7xOaLwQIZyNvY_hw,,,,,,,,
,,,,,,,,,
Puppet Best Practices,https://pan.baidu.com/s/10LIGTFwMaU_EURyO3AVyyQ,,,,,,,,
,,,,,,,,,
"Algorithms in C, Part 5, 3rd Edition",https://pan.baidu.com/s/1ZiNECKR_YoJ_gKe3roCG0Q,,,,,,,,
,,,,,,,,,
Deep Learning for Computer Vision with Python,https://pan.baidu.com/s/1mOfJa-C2-aYW9yks5-UjHg,,,,,,,,
,,,,,,,,,
"Learning Web Design, 5th Edition",https://pan.baidu.com/s/1tR_b4hRLsC6te3sYpvHb1g,,,,,,,,
,,,,,,,,,
"Algorithms in C, Parts 1-4, 3rd Edition",https://pan.baidu.com/s/1dflxdkkceZgxu-q9BRTzRA,,,,,,,,
,,,,,,,,,
Programming Elixir 1.6,https://pan.baidu.com/s/1ODeTuRCShqt8c68VzHJNUg,,,,,,,,
,,,,,,,,,
Feature Engineering for Machine Learning,https://pan.baidu.com/s/1tLrhcWtHsNLHLttFS5zazg,,,,,,,,
,,,,,,,,,
Kafka Streams in Action,https://pan.baidu.com/s/174h3yF38F81QZgTe0jCJ1A,,,,,,,,
,,,,,,,,,
"Introduction to Programming in Java, 2nd Edition",https://pan.baidu.com/s/1jYWdREcojgapQE_FhGfDAg,,,,,,,,
,,,,,,,,,
Python Crash Course,https://pan.baidu.com/s/1CyMvAdgMNCf3pFcWqSPafA,,,,,,,,
,,,,,,,,,
Google Cloud Platform in Action,https://pan.baidu.com/s/1wa0RQO5HVd849W_HIfB8iQ,,,,,,,,
,,,,,,,,,
"GraphQL and Android, Version 0.3",https://pan.baidu.com/s/1_BgDR3sXRyNFQo4YX2xTQA,,,,,,,,
,,,,,,,,,
Mastering Go,https://pan.baidu.com/s/1rZHYaL2yG10W6pZdKh39JA,,,,,,,,
,,,,,,,,,
Securing DevOps,https://pan.baidu.com/s/1gPVc9ATsNTiG3TqjpKJ7RQ,,,,,,,,
,,,,,,,,,
"Exploring Android, Version 0.3",https://pan.baidu.com/s/1ySMvH-7eotGfpDl-bpZetg,,,,,,,,
,,,,,,,,,
Neural Network Programming with Tensorflow,https://pan.baidu.com/s/165zHQr9rEVmNAbsuPUisCw,,,,,,,,
,,,,,,,,,
"Android��s Architecture Components, Version 0.10",https://pan.baidu.com/s/1U-Bk28YShFzksRC2uJ6i4g,,,,,,,,
,,,,,,,,,
"Neural Network Programming with Java, 2nd Edition",https://pan.baidu.com/s/1aaaRgxAZ20B3nrbXO4OhNA,,,,,,,,
,,,,,,,,,
Python Social Media Analytics,https://pan.baidu.com/s/1X2MKxRpme7lAZq58dFGrEw,,,,,,,,
,,,,,,,,,
Getting Started with OpenBTS,https://pan.baidu.com/s/1ijjp8x9RfUlt-n_M6eHMSA,,,,,,,,
,,,,,,,,,
Streaming Systems,https://pan.baidu.com/s/1Nejfy9YDCo1XP83EDuSkxw,,,,,,,,
,,,,,,,,,
The Site Reliability Workbook,https://pan.baidu.com/s/1CEU_N39UPXkfNFnlBV8D1w,,,,,,,,
,,,,,,,,,
"ng-book: The Complete Book on Angular 6, r68",https://pan.baidu.com/s/1KYjF8LQMBEEqYQlLT8rF5Q,,,,,,,,
,,,,,,,,,
Usability Matters,https://pan.baidu.com/s/1NqxkZFDKydltobFVLWdBVQ,,,,,,,,
,,,,,,,,,
"Programming Clojure, 3rd Edition",https://pan.baidu.com/s/1xumbBsalLeMQFnL0AZmFxQ,,,,,,,,
,,,,,,,,,
Deep Learning Cookbook,https://pan.baidu.com/s/1qN_h65JhZaSYlr6PlWMTcA,,,,,,,,
,,,,,,,,,
Visualizing Streaming Data,https://pan.baidu.com/s/1tbJ4859SZpyUuTrdjxnO2A,,,,,,,,
,,,,,,,,,
Getting Started with Kudu,https://pan.baidu.com/s/1blFPKRsohT8_vTlWwUTwbA,,,,,,,,
,,,,,,,,,
Applied Text Analysis with Python,https://pan.baidu.com/s/1cOsmdgzU-XpYiOfl4jJo3Q,,,,,,,,
,,,,,,,,,
Entity Framework Core in Action,https://pan.baidu.com/s/14CjxRYGYksgdHHrs500Opw,,,,,,,,
,,,,,,,,,
Investigating Cryptocurrencies,https://pan.baidu.com/s/10Ps9BhHKOBDyWEJzqKECHQ,,,,,,,,
,,,,,,,,,
Microservices in .NET Core,https://pan.baidu.com/s/12timW5CkQflj4J6fAk0o3g,,,,,,,,
,,,,,,,,,
Natural Language Processing with TensorFlow,https://pan.baidu.com/s/1Z6E00KJe2RQZAHNMabjcKg,,,,,,,,
,,,,,,,,,
.NET Core in Action,https://pan.baidu.com/s/1KBKNsWFREUJ7LPhJzsj8zA,,,,,,,,
,,,,,,,,,
Angular: Up and Running,https://pan.baidu.com/s/1lo82Xi6xvQYHYukXgMIayQ,,,,,,,,
,,,,,,,,,
Professional C# 7 and .NET Core 2.0,https://pan.baidu.com/s/16ypopKogc1nyjAP87MxVZg,,,,,,,,
,,,,,,,,,
Craft GraphQL APIs in Elixir with Absinthe,https://pan.baidu.com/s/1Arh6dKeGiEcFdy3ivBettA,,,,,,,,
,,,,,,,,,
Simplifying JavaScript,https://pan.baidu.com/s/1T6NuppjGEVntVqvDeA5caQ,,,,,,,,
,,,,,,,,,
"Windows 10: The Missing Manual, 2nd Edition",https://pan.baidu.com/s/1KC-IijC3m__CYM0fbisdQw,,,,,,,,
,,,,,,,,,
MySQL and JSON,https://pan.baidu.com/s/1lt1yHCeFyhdo35Gft4D8wQ,,,,,,,,
,,,,,,,,,
Machine Learning and Security,https://pan.baidu.com/s/1e6qKcPVbofHu8neo2Sy9cg,,,,,,,,
,,,,,,,,,
ASP.NET Core in Action,https://pan.baidu.com/s/1bdTukzrFmU1KcbU99hj67Q,,,,,,,,
,,,,,,,,,
Concurrency in .NET,https://pan.baidu.com/s/145VoPeJ1QHxdLpTs5ozMyA,,,,,,,,
,,,,,,,,,
Intelligence-Driven Incident Response,https://pan.baidu.com/s/1d_8R2BenQGgxa8W_8quPDQ,,,,,,,,
,,,,,,,,,
Get Programming with F#,https://pan.baidu.com/s/1E1e3cJy2O30zKh39gL9RAg,,,,,,,,
,,,,,,,,,
Python Testing with pytest,https://pan.baidu.com/s/1qJ5L6TpYQPqoECMQVGzNdg,,,,,,,,
,,,,,,,,,
Refactoring JavaScript,https://pan.baidu.com/s/13dDWXDJmK2ZtNvRRIlLfYw,,,,,,,,
,,,,,,,,,
Rails 5 Test Prescriptions,https://pan.baidu.com/s/1O5TG3MNwxYFo-jlj_fcuxw,,,,,,,,
,,,,,,,,,
Learn Functional Programming with Elixir,https://pan.baidu.com/s/1KYl6a0lSSTLLZC0r5lTqTw,,,,,,,,
,,,,,,,,,
Practical Tableau,https://pan.baidu.com/s/1peWitC2yKSlH9A3FsE0KOg,,,,,,,,
,,,,,,,,,
Software Design X-Rays,https://pan.baidu.com/s/1wszoCXlPrDGI5QxdGnBGbQ,,,,,,,,
,,,,,,,,,
Mastering PostgreSQL 10,https://pan.baidu.com/s/1DtUQJQ7ND7cJbB61jsiu7Q,,,,,,,,
,,,,,,,,,
Deep Learning with PyTorch,https://pan.baidu.com/s/1IEbI8T9DEePjxs4-G8wv8g,,,,,,,,
,,,,,,,,,
Practical SQL,https://pan.baidu.com/s/180VFjlqR31ObtOUSlZ53oQ,,,,,,,,
,,,,,,,,,
Functional Programming: A PragPub Anthology,https://pan.baidu.com/s/1G3JgoyQ-HvO3M8c0nLvWOg,,,,,,,,
,,,,,,,,,
"Release It!, 2nd Edition",https://pan.baidu.com/s/1rgKRWaCsOvtQpCMv5CsKMw,,,,,,,,
,,,,,,,,,
Modern Vim,https://pan.baidu.com/s/1vuF44QWLHeORX9k7dDDmxA,,,,,,,,
,,,,,,,,,
Design It!,https://pan.baidu.com/s/1dkQS0QX8IRrZeZl0QEIsZg,,,,,,,,
,,,,,,,,,
"Web Scraping with Python, 2nd Edition",https://pan.baidu.com/s/1njdZq5lBtKWXMm6cKasaYg,,,,,,,,
,,,,,,,,,
Programming Voice Interfaces,https://pan.baidu.com/s/1MerY_FcwVMBrSjPv5_6bMQ,,,,,,,,
,,,,,,,,,
"Functional Web Development with Elixir, OTP, and Phoenix",https://pan.baidu.com/s/1hYCj-xg6S-LYcC0dXyoLhA,,,,,,,,
,,,,,,,,,
Node.js 8 the Right Way,https://pan.baidu.com/s/1-I0pg0xUW0aGaWqGuFDy9Q,,,,,,,,
,,,,,,,,,
Web Animation using JavaScript,https://pan.baidu.com/s/1-n2r7B8VbSxk1VDgFpsKrA,,,,,,,,
,,,,,,,,,
The Truthful Art,https://pan.baidu.com/s/1M099XO5KBkFC2DDWaDVZaw,,,,,,,,
,,,,,,,,,
"Operating System Concepts, 10th Edition",https://pan.baidu.com/s/1SI3i0x-CXaw7BAf8W7N-bg,,,,,,,,
,,,,,,,,,
RabbitMQ in Depth,https://pan.baidu.com/s/1IA1ytpr2CwNkTMiUbvK5dg,,,,,,,,
,,,,,,,,,
Cross-Platform Desktop Applications,https://pan.baidu.com/s/17fvOsc5TvWQeodjkpP0DZA,,,,,,,,
,,,,,,,,,
"Seven Databases in Seven Weeks, 2nd Edition",https://pan.baidu.com/s/1BdAAFbjX41O_LevXYCWSZg,,,,,,,,
,,,,,,,,,
"Learning PHP, MySQL & JavaScript, 5th Edition",https://pan.baidu.com/s/1GsE119hYwdFEuxfXM0rt3Q,,,,,,,,
,,,,,,,,,
CSS Refactoring,https://pan.baidu.com/s/1q4pB1679_NQFRvHJV2A2Zg,,,,,,,,
,,,,,,,,,
Nim in Action,https://pan.baidu.com/s/1k9yS7s7mChAE-HD8B8VzGg,,,,,,,,
,,,,,,,,,
The Kubernetes Book,https://pan.baidu.com/s/1-FF7YzsSjmmgfZdOhBiNBA,,,,,,,,
,,,,,,,,,
"Unity in Action, 2nd Edition",https://pan.baidu.com/s/1BQCRNfHAJhzKgdMwF-6a-Q,,,,,,,,
,,,,,,,,,
Spring Microservices in Action,https://pan.baidu.com/s/1fF1g9otryEGbFLU-P7q49Q,,,,,,,,
,,,,,,,,,
Functional Programming in C#,https://pan.baidu.com/s/1D1y6_wfAhdrV4_utdbXmRQ,,,,,,,,
,,,,,,,,,
Xamarin in Action,https://pan.baidu.com/s/1vZreKFZqOIoll7ckaCmDlw,,,,,,,,
,,,,,,,,,
OpenShift in Action,https://pan.baidu.com/s/1-1g-SiengRtSxXHF7wrshw,,,,,,,,
,,,,,,,,,
"CSS Pocket Reference, 5th Edition",https://pan.baidu.com/s/1pSgRIZYlR0V7RhAZbcOQXw,,,,,,,,
,,,,,,,,,
"Programming Interviews Exposed, 4th Edition",https://pan.baidu.com/s/1efLIkT7szqya6Qg6MoPZqA,,,,,,,,
,,,,,,,,,
Serious Cryptography,https://pan.baidu.com/s/1gw7tbtmaSju3-CEFzntd6A,,,,,,,,
,,,,,,,,,
"Machine Learning with TensorFlow, MEAP Edition, Version 10",https://pan.baidu.com/s/13Kzn8KeJyiL9sJNCmnFDwA,,,,,,,,
,,,,,,,,,
Progressive Web Apps,https://pan.baidu.com/s/1iQYD4B5IRJ-aPx9cGce1zg,,,,,,,,
,,,,,,,,,
Spark in Action,https://pan.baidu.com/s/1BWZZ8snkPxgS0mYqtpAkfw,,,,,,,,
,,,,,,,,,
Rx.NET in Action,https://pan.baidu.com/s/1KKyHHoo1GcRu-DwZJs_1PQ,,,,,,,,
,,,,,,,,,
Get Programming with Haskell,https://pan.baidu.com/s/1XlM_TzjhJqWz_ewS1Xz-Ew,,,,,,,,
,,,,,,,,,
React Quickly,https://pan.baidu.com/s/1ZKDETVYIGM-C0W9IklgC-w,,,,,,,,
,,,,,,,,,
Learn Amazon Web Services in a Month of Lunches,https://pan.baidu.com/s/13B6ebdsHJzagcBO2PQSLEQ,,,,,,,,
,,,,,,,,,
"D3.js in Action, 2nd Edition",https://pan.baidu.com/s/1L-oY38fbzADAgJCwjqiP5g,,,,,,,,
,,,,,,,,,
Kubernetes in Action,https://pan.baidu.com/s/1NPRcCQg6STAhMt-CsflJyQ,,,,,,,,
,,,,,,,,,
Angular in Action,https://pan.baidu.com/s/1_-UtdAitNJiIfnsQQyPNPw,,,,,,,,
,,,,,,,,,
CSS in Depth,https://pan.baidu.com/s/11sYq0jTSozTRuk7ujTrTvg,,,,,,,,
,,,,,,,,,
"Professional C++, 4th Edition",https://pan.baidu.com/s/1elN9fW2F58_Z_7TaxoLI8A,,,,,,,,
,,,,,,,,,
Discovering Modern C++,https://pan.baidu.com/s/1J0vtk_CRP_fhQrXmwidy5g,,,,,,,,
,,,,,,,,,
The Python 3 Standard Library by Example,https://pan.baidu.com/s/19vOtAr5EsGfTIp1RRa91Fw,,,,,,,,
,,,,,,,,,
Complex Network Analysis in Python,https://pan.baidu.com/s/1fNHrDqIraTT6ZqZMzvUDwQ,,,,,,,,
,,,,,,,,,
"Switching to Angular, 3rd Edition",https://pan.baidu.com/s/126Ym4P1t4NRrMJ1Do-HzqQ,,,,,,,,
,,,,,,,,,
"Mastering Blockchain, 2nd Edition",https://pan.baidu.com/s/1aZGu4D5Oin-5JVa4ZJBe3A,,,,,,,,
,,,,,,,,,
Agile Web Development with Rails 5.1,https://pan.baidu.com/s/1Ahpq1P2PNYpxqiuEvpi4EQ,,,,,,,,
,,,,,,,,,
"Deep Learning with TensorFlow, 2nd Edition",https://pan.baidu.com/s/126gYV_7UWzX8qaDWwfKUWw,,,,,,,,
,,,,,,,,,
Vue.js: Up and Running,https://pan.baidu.com/s/1v1ocDB1ElToFPm4Bde07WQ,,,,,,,,
,,,,,,,,,
Machine Learning with Python Cookbook,https://pan.baidu.com/s/1_XnCAY406we_UzY2OGnzUQ,,,,,,,,
,,,,,,,,,
Introduction to Machine Learning with R,https://pan.baidu.com/s/1zbdyRyjJmHFsucv-6XYmGA,,,,,,,,
,,,,,,,,,
Hands-On Data Structures and Algorithms with JavaScript,https://pan.baidu.com/s/1Ms_4x2NFosUSELmW7LOptg,,,,,,,,
,,,,,,,,,
Learn Python 3 the Hard Way,https://pan.baidu.com/s/17RLybciQW2_I_ziGogcACg,,,,,,,,
,,,,,,,,,
Building RESTful Web Services with PHP 7,https://pan.baidu.com/s/1jskF3oEQUYDjHj5nXBJqwA,,,,,,,,
,,,,,,,,,
Distributed Computing with Go,https://pan.baidu.com/s/1IfRWJW3qGsSXgp4b7KcC3g,,,,,,,,
,,,,,,,,,
"Flask Web Development, 2nd Edition",https://pan.baidu.com/s/1w_wkTPs1aeoVzC4CpzgSdQ,,,,,,,,
,,,,,,,,,
Python Interviews,https://pan.baidu.com/s/1gErPlIRrALhaImhabm4veQ,,,,,,,,
,,,,,,,,,
TensorFlow for Deep Learning,https://pan.baidu.com/s/1jx_u9johzXauiqHNw5t4zA,,,,,,,,
,,,,,,,,,
Debugging Teams,https://pan.baidu.com/s/15vb4IQNy8QgGtMeM-QK9rQ,,,,,,,,
,,,,,,,,,
"The Algorithm Design Manual, 2nd Edition",https://pan.baidu.com/s/1ht7Nw9Y,,,,,,,,
,,,,,,,,,
"Python Machine Learning, 2nd Edition",https://pan.baidu.com/s/1aL0p0K-rweJVsThVSoEzhA,,,,,,,,
,,,,,,,,,
Kotlin in Action,https://pan.baidu.com/s/1eTj4RWQ,,,,,,,,
,,,,,,,,,
R Deep Learning Cookbook,https://pan.baidu.com/s/1htl26US,,,,,,,,
,,,,,,,,,
Designing Distributed Systems,https://pan.baidu.com/s/1ZsDK8dgbUn5CKK7xkRay6A,,,,,,,,
,,,,,,,,,
Building RESTful Web services with Go,https://pan.baidu.com/s/1snn2sP3,,,,,,,,
,,,,,,,,,
Kubernetes Cookbook,https://pan.baidu.com/s/1o9bMRma,,,,,,,,
,,,,,,,,,
Deep Learning with Theano,https://pan.baidu.com/s/1dGKKqVv,,,,,,,,
,,,,,,,,,
Spark: The Definitive Guide,https://pan.baidu.com/s/1nwI2fA5,,,,,,,,
,,,,,,,,,
React Native Cookbook,https://pan.baidu.com/s/1raqmg7y,,,,,,,,
,,,,,,,,,
Deep Learning with Keras,https://pan.baidu.com/s/1snoNXvB,,,,,,,,
,,,,,,,,,
"Windows Internals, Part 1, 7th Edition",https://pan.baidu.com/s/1kXaML2v,,,,,,,,
,,,,,,,,,
Presto Sketching,https://pan.baidu.com/s/1sncCzvB,,,,,,,,
,,,,,,,,,
Practical Big Data Analytics,https://pan.baidu.com/s/1kW7G6HL,,,,,,,,
,,,,,,,,,
"React 16 Essentials, 2nd Edition",https://pan.baidu.com/s/1d8EFAQ,,,,,,,,
,,,,,,,,,
Docker Deep Dive,https://pan.baidu.com/s/1gguXztp,,,,,,,,
,,,,,,,,,
Clean Code,https://pan.baidu.com/s/1i6UeImL,,,,,,,,
,,,,,,,,,
The Robert C. Martin Clean Code Collection,https://pan.baidu.com/s/1eUnhGjg,,,,,,,,
,,,,,,,,,
Zero Trust Networks,https://pan.baidu.com/s/1c33Qdu4,,,,,,,,
,,,,,,,,,
Head First Learn to Code,https://pan.baidu.com/s/1jJYMLZw,,,,,,,,
,,,,,,,,,
Spock: Up and Running,https://pan.baidu.com/s/1mVpOJFXbW8bUshcPtN9iZg,,,,,,,,
,,,,,,,,,
JSON at Work,https://pan.baidu.com/s/1eczZ7w,,,,,,,,
,,,,,,,,,
Cracking Codes with Python,https://pan.baidu.com/s/1mjPomBe,,,,,,,,
,,,,,,,,,
"Juniper MX Series, 2nd Edition",https://pan.baidu.com/s/1htKCCPA,,,,,,,,
,,,,,,,,,
Getting Started with Varnish Cache,https://pan.baidu.com/s/1i6qOyFF,,,,,,,,
,,,,,,,,,
"Programming Pig, 2nd Edition",https://pan.baidu.com/s/1smaYUT3,,,,,,,,
,,,,,,,,,
Monitoring with Graphite,https://pan.baidu.com/s/1dP81Ro,,,,,,,,
,,,,,,,,,
Prototyping for Designers,https://pan.baidu.com/s/1okl-TPPjx13usePOUbIH1Q,,,,,,,,
,,,,,,,,,
Moving Hadoop to the Cloud,https://pan.baidu.com/s/1gg7Nugz,,,,,,,,
,,,,,,,,,
Applied Akka Patterns,https://pan.baidu.com/s/1eTOewvg,,,,,,,,
,,,,,,,,,
Terraform: Up and Running,https://pan.baidu.com/s/1nThaMCVGebd5YF2A4QL9qw,,,,,,,,
,,,,,,,,,
"Learning React Native, 2nd Edition",https://pan.baidu.com/s/10E71BGoYT9GASag18iYpsA,,,,,,,,
,,,,,,,,,
Unlocking Financial Data,https://pan.baidu.com/s/1oAn6odG,,,,,,,,
,,,,,,,,,
Making Data Visual,https://pan.baidu.com/s/1vrRCxMJlj15aaJsHMn2FBQ,,,,,,,,
,,,,,,,,,
"Advanced Apple Debugging & Reverse Engineering, 2nd Edition",https://pan.baidu.com/s/1jJsN8WI,,,,,,,,
,,,,,,,,,
"RxSwift: Reactive Programming with Swift, 2nd Edition",https://pan.baidu.com/s/1i6FQiqD,,,,,,,,
,,,,,,,,,
Attacking Network Protocols,https://pan.baidu.com/s/1K7Bk7oZFPER92W7WAypjIw,,,,,,,,
,,,,,,,,,
Programming iOS 11,https://pan.baidu.com/s/1o7UChMq,,,,,,,,
,,,,,,,,,
iOS 11 Swift Programming Cookbook,https://pan.baidu.com/s/1c19rLqK,,,,,,,,
,,,,,,,,,
Building Evolutionary Architectures,https://pan.baidu.com/s/1-9M2R4y5_A8L2bf-uZa8Yw,,,,,,,,
,,,,,,,,,
Data Science on the Google Cloud Platform,https://pan.baidu.com/s/1mipECas,,,,,,,,
,,,,,,,,,
"Effective Java, 3rd Edition",https://pan.baidu.com/s/1gfxqr0v,,,,,,,,
,,,,,,,,,
Deep Learning with Python,https://pan.baidu.com/s/1eSJCUVg,,,,,,,,
,,,,,,,,,
"The Busy Coder��s Guide to Android Development, Version 8.13",https://pan.baidu.com/s/1V7ALRrtpxZOhnOyHLEAF2A,,,,,,,,
,,,,,,,,,
Practical Machine Learning with Python,https://pan.baidu.com/s/1sl3HrOh,,,,,,,,
,,,,,,,,,
iOS 11 by Tutorials,https://pan.baidu.com/s/1kVQTWbX,,,,,,,,
,,,,,,,,,
"Hacking Exposed Wireless, 3rd Edition",https://pan.baidu.com/s/1dFlOC4h,,,,,,,,
,,,,,,,,,
Head First Ruby,https://pan.baidu.com/s/1i481a1f,,,,,,,,
,,,,,,,,,
"Programming: Principles and Practice Using C++, 2nd Edition",https://pan.baidu.com/s/1qYT12qg,,,,,,,,
,,,,,,,,,
"Software Architecture in Practice, 3rd Edition",https://pan.baidu.com/s/1eR5OYFw,,,,,,,,
,,,,,,,,,
Designing Software Architectures,https://pan.baidu.com/s/1geWRnEz,,,,,,,,
,,,,,,,,,
